#----------------------------------------------------------------------------------------#
#                              아이템 삭제 로그입니다.                                   #
#                                                            by 가니                     #
#----------------------------------------------------------------------------------------#
#시간	아이피	계정	케릭터id	케릭터이름	아이템id	아이템이름	아이템인챈	아이템갯수#
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291048355	테베 호루스의 반지	1	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291049975	화령의 반지	10	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291049986	지령의 반지	10	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291049997	수령의 반지	10	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291050019	풍령의 반지	10	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291050053	남작의 지령 반지	10	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291060702	파멸의 대검	0	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291060708	숨겨진 마족의 체인소드	0	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291060727	신묘한 장검	0	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291060750	숨겨진 마족의 크로우	0	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291060776	신묘한 크로우	0	1
2012-03-07 10:21:42	192.168.0.6	admin001	271858842	메티스	291176908	장인의 검	50	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288215634	오만의 탑 11층 이동 주문서	0	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288215565	빈 주문서 (레벨 2)	0	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288224228	확인 주문서	0	91
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288179194	갑옷 마법 주문서	0	3
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	285272366	사일런스 베인	0	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288223958	블랙 미스릴 판금	0	98
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288233106	발록 잡는 버프 주문서	0	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	285870150	마법 주문서 (디스인티그레이트)	0	75
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288208946	기술 주문서 : 카운터 배리어	0	1085
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288344257	마법 주문서 (이뮨 투 함)	0	986
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288639320	체력 회복제	0	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288639336	고급 체력 회복제	0	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288909658	장인의 검	8	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	288934986	기란성 점령 기념품	0	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	289516846	쫄법사 인형	0	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	289883764	신묘한 장궁	5	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	289878374	무기 마법 주문서	0	8
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	289878343	최고급 사파이어	0	10
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	289878341	고급 사파이어	0	15
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	286705538	피닉스 장궁	10	1
2012-03-07 10:21:54	192.168.0.6	admin001	271858842	메티스	290656270	소나무 막대	0	1
2012-03-07 10:22:06	192.168.0.6	admin001	271858842	메티스	287504797	오리하루콘 화살	0	9064
2012-03-07 10:22:06	192.168.0.6	admin001	271858842	메티스	287693312	갑옷 마법 주문서	0	6
2012-03-07 10:22:06	192.168.0.6	admin001	271858842	메티스	287693455	드래곤의 에메랄드상자	0	2
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287693522	오만의 탑 100층 이동 주문서	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287693627	오만의 탑 80층 이동 주문서	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287693711	오만의 탑 70층 이동 주문서	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287693722	오만의 탑 60층 이동 주문서	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287693761	오만의 탑 50층 이동 주문서	0	98
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287695087	마법인형 : 에티	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287700477	빈 주문서 (레벨 5)	0	2
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287700492	빈 주문서 (레벨 3)	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287700828	명예의 코인	0	10
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287703115	쫄법사 인형	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287706346	6연발 폭죽	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287879917	봉인된 수룡의 마안	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287879981	생명의 마안	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	287880174	수룡의 마안	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	288126934	테베 호루스의 반지	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	288215564	빈 주문서 (레벨 1)	0	1
2012-03-07 10:22:07	192.168.0.6	admin001	271858842	메티스	291044842	테베 호루스의 반지	20	1
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	285214563	전투 강화의 주문서	0	10
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	285214574	천상의 전투 주문서	0	9
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	285717691	균열의 핵	0	1
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	285946598	잊혀진 보우건	0	1
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	286073897	데스 나이트의 불검	9	1
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	286444657	[독립] 혈맹 가입 주문서	0	1
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	286515704	미스릴 원석	0	3
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	286516361	사파이어	0	7
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	286565506	기란 마을 귀환 주문서	0	50
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	286565507	상아탑의 순간이동 주문서	0	10
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	286565513	농축 강력 체력 회복제	0	100
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	286565515	회상의 촛불	0	1
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	286660921	경험치물약	0	5
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	287120228	고대의 강력 체력 회복제	0	1001
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	287120229	할로윈 호박 파이	0	10
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	287120230	운세 쪽지NA	0	5
2012-03-07 10:22:19	192.168.0.6	admin001	271858842	메티스	287120231	데스나이트 변신 주문서 (80렙)	0	1
2012-03-07 10:22:25	192.168.0.6	admin001	271858842	메티스	280895805	깃털200통장	0	3
2012-03-07 10:22:25	192.168.0.6	admin001	271858842	메티스	282356988	용기의 물약	0	1
2012-03-07 10:22:25	192.168.0.6	admin001	271858842	메티스	282483372	강화 속도향상 물약	0	10
2012-03-07 10:22:25	192.168.0.6	admin001	271858842	메티스	282734374	신비한 날개깃털	0	19892
2012-03-07 14:59:16	192.168.0.6	admin001	271858842	메티스	291222819	숨겨진 마족의 검	10	1
